model	simID	number_of_lineages	tree_height	phylogenetic_div	gamma	beta	colless	sackin	var_depth	psv	i_stat	mpd	vpd	laplac_spectrum_e	laplac_spectrum_a	laplac_spectrum_p	laplac_spectrum_g	nltt_base	blum	crown_age	pigot_rho	avg_ladder	max_ladder	cherries	il_number	pitchforks	stairs	imbalance_steps	j_one	b1	b2	area_per_pair	average_leaf_depth	ew_colless	max_del_width	max_depth	max_width	rogers	stairs2	tot_coph	symmetry_nodes	mntd	j_stat	rquartet	wiener	max_betweenness	max_closeness	diameter	eigenvector	mean_branch_length	var_branch_length	mean_branch_length_int	mean_branch_length_ext	var_branch_length_int	var_branch_length_ext	
pair	1	31	1	8.17422208216685	1.2957734299345	0.905078125	63	179	2.58064516129032	0.707572720367721	0.499179894179894	1.41514544073544	0.374528207524713	4.71381643734266	0.645967989911986	2.26669392608627	15	0.736315416655314	30.6244426257232	1	0.198338991638943	2.33333333333333	3	11	9	4	0.6	22	0.8579893051508	16.8261904761905	4.2421875	8.83440860215054	5.7741935483871	0.446603385080173	4	8	12	18	0.667635756056809	631	18	0.217161387201933	0.0456498529269497	33999	2187.36875067711	1163	0.0222798217069698	14	0.642421204457134	0.136237034702781	0.0170041165972734	0.165800709828194	0.108580693456426	0.0199770713330553	0.0131609165549232	
pair	1	86	1	19.7591405494991	-0.823020826347956	-0.08421875	365	751	7.28057455540356	0.770371731795039	0.416780897300733	1.54074346359008	0.298263285335211	5.75475435432297	0.242530026099332	2.51947792723625	164	0.770242551727133	94.7047847050951	1	0.200214106927983	2	2	32	22	16	0.611764705882353	71	0.735897162322743	48.3075147075147	4.5711669921875	12.4145006839945	8.73255813953488	0.428922973487246	6	14	24	52	0.666605910635486	9230	52	0.258723023573869	0.0179156216696521	1659039	19299.0972631666	9343	0.00723877794200307	21	0.706391823911615	0.116230238526465	0.0138295358785634	0.102786315983174	0.129361511708285	0.01177185124677	0.0156484331843718	
pair	2	324	1	41.8155866530646	0.112212860785355	-0.5994775390625	2210	4082	14.5072430531667	0.648442463245549	0.557499548414606	1.2968849264911	0.193570822417594	7.12365680514507	2.06456291794409	7.43727658901152	54	0.870939547242281	406.448542917049	1	0.507522654728013	2.2962962962963	5	109	106	44	0.609907120743034	302	0.661957717034449	170.020579317483	5.64187335968018	18.8648855253602	12.5987654320988	0.472477303467392	14	21	68	197	0.62274688970905	165681	197	0.148196737176963	0.00400273125460216	407443893	244994.702503097	122881	0.00221888083533452	36	0.690155334057911	0.0647300102988616	0.00546881431685988	0.0553034635902068	0.0740983684475864	0.00561811386495698	0.00516074800649872	
pair	2	344	1	45.8784157228651	-0.0211087245044064	-0.7584716796875	3053	4955	19.127796799783	0.636044474843953	0.545419123965686	1.27208894968791	0.337443623178159	7.1873860708625	0.983799961939732	3.13850530460713	37	0.866632512470815	442.979474567731	1	0.643985734806895	2.27272727272727	4	119	106	46	0.583090379008746	320	0.584991942606967	183.024521617014	4.88628244400024	20.3257000474608	14.4040697674419	0.456130446103602	12	23	66	200	0.630069378350409	250215	202	0.159650383278519	0.0036979329932788	422105208	269316.288685817	148109	0.00208942209156434	40	0.684545734438461	0.0668781570304155	0.00621046301315291	0.0538554088835575	0.079825191525257	0.00637512398126277	0.00572765653451688	
pair	3	89	1	29.5577240848268	-2.6040588283373	-0.98960205078125	559	927	14.9274770173647	0.784959849037646	0.625324635723195	1.56991969807529	0.325923043254056	5.78085254587761	0.451133964395429	2.08512302923092	55	0.667890740630233	115.66947715366	1	-0.186298622601271	2	2	29	31	13	0.636363636363636	71	0.621726294882426	44.8557650682651	4.03463745117188	14.3192032686415	10.4157303370787	0.523797335735466	4	17	16	56	0.578755518608244	12751	56	0.469855953200781	0.0176395471693853	1776900	19507.9472635526	9315	0.00701237641978412	27	0.657866376548945	0.167941614118334	0.0296045205057395	0.0994153354028802	0.234927976458159	0.0160459637604653	0.0340106909681561	
pair	4	96	1	36.037568007341	-4.16943639292973	-1.07572387695312	692	1106	19.9364035087719	0.795964438430423	0.604872615805088	1.59192887686085	0.150265976269915	5.84158553605209	-0.102449382723728	2.43119906460241	5	0.624608666577773	129.162826879269	1	-0.399074960701721	2.33333333333333	3	32	32	12	0.610526315789474	75	0.571569981979413	48.8723428317469	3.80193138122559	14.9767543859649	11.5208333333333	0.492379639807253	6	20	20	58	0.598539328305617	18388	58	0.497217442818825	0.0165825924673005	2061978	22309.56965653	11827	0.00755137182403967	29	0.70474098852521	0.189671410564953	0.0291032474585374	0.129480114639698	0.248608721158432	0.0153791926580928	0.0357496985568053	
pair	4	319	1	65.0384420980222	-3.95719702130427	-0.70989013671875	2285	4093	19.9586758936141	0.680272686863321	0.58586668866467	1.36054537372664	0.157755764789178	7.07699281884386	0.878257763640619	3.92775566594118	3	0.796117736345776	409.481048231704	1	-0.209789576817303	2.52941176470588	5	98	123	48	0.635220125786163	294	0.648242028778645	161.33669466349	5.23871475458145	18.9538849786085	12.8307210031348	0.512113456171688	14	25	66	202	0.601758563252289	170107	204	0.257640614036846	0.00426503251951925	311034738	235176.361544602	128663	0.00243380898131712	37	0.679438266129238	0.102261701411984	0.0095551268332292	0.0755355343209008	0.128820306326949	0.00566557143140221	0.0120306477657972	
pair	5	2118	1	214.92047513336	-6.35463755968181	-0.6084054956557	29528	44914	56.2183502140817	0.720444177725066	0.537006484617935	1.44088835545013	0.302271372814089	9.00331147688947	0.606553654990033	4.58180817696495	5	0.898526687815285	2688.09396409174	1	0.510487170958477	2.44444444444444	6	722	674	337	0.600850259801606	2076	0.521011159084381	1132.02817225857	6.21318102400301	32.7144127109871	21.2058545797923	0.468235694798936	32	42	218	1272	0.632361103857721	10870199	1284	0.120253050456155	0.00068030611683198	544391582619	12015160.5743298	5965983	0.000302219877803407	64	0.688948238042421	0.0507606223744353	0.00312947277804901	0.0413858671979083	0.0601265250909281	0.00274573604850937	0.00333871914712471	
pair	5	94	1	16.5250143844035	-0.943957763135757	-0.99107421875	507	927	14.3570121253718	0.642106548001504	0.614747082780841	1.28421309600301	0.4526035365424	5.84955737623465	0.58050734534624	2.04870978221256	1	0.824201974610005	122.477307515056	1	0.639937346686615	2.33333333333333	4	29	36	13	0.623655913978495	75	0.66465086521866	46.614155697244	4.70705413818359	15.0366048959048	9.86170212765957	0.519821707627054	4	18	20	58	0.588172279565136	10243	59	0.213938253954865	0.0136618414468405	3214134	19534.4790662454	11129	0.00734022572880334	29	0.612370859072022	0.0888441633570082	0.00842532444892029	0.070325178859819	0.106969126907449	0.00788117037061319	0.0083770593375263	
pair	6	151	1	20.1688433184248	3.31928702153619	-0.714306640625	1102	1802	20.7555849889625	0.671046187797735	0.566093699323228	1.34209237559547	0.505140202599349	6.36782958842517	0.4413773734736	2.38785607339166	119	0.866431501161876	188.954176827675	1	0.304333369791242	2.75	5	49	53	22	0.62	128	0.606547788922357	78.4104741448782	3.63019514083862	15.8675496688742	11.9337748344371	0.488998333541138	12	22	32	93	0.616431336980824	45300	93	0.140466606646868	0.00888802897745344	13294875	55007.7939323319	27731	0.00425721453956133	33	0.707086950160277	0.0672294777280825	0.00886010212595254	0.0641853325145109	0.0702333031375009	0.00860224136647425	0.0091553039279925	
